,Experiment_ID,Algorithm,N,R,range_flag,type,seed,kproj,w,M,probes,Average AF,Recall@N,QPS,tApproximateAverage,tTrueAverage
194,195,hypercube,1,2000.0,false,protein,1,4,12.0,100,12,2.0239,0.0,58881.3,1.69833,0.00493756
195,196,hypercube,1,2000.0,false,protein,1,4,12.0,100,14,2.0239,0.0,54029.7,1.85083,0.00494812
196,197,hypercube,1,2000.0,false,protein,1,4,12.0,100,16,2.0239,0.0,56311.6,1.77583,0.00490632
197,198,hypercube,1,2000.0,false,protein,1,4,12.0,100,18,2.0239,0.0,53404.5,1.8725,0.00490127
198,199,hypercube,1,2000.0,false,protein,1,4,12.0,1000,2,1.73697,0.0,5589.98,0.000178892,0.00493672
199,200,hypercube,1,2000.0,false,protein,1,4,12.0,1000,4,1.73697,0.0,5710.21,0.000175125,0.00498706
200,201,hypercube,1,2000.0,false,protein,1,4,12.0,1000,6,1.73697,0.0,5879.76,0.000170075,0.00503089
201,202,hypercube,1,2000.0,false,protein,1,4,12.0,1000,8,1.73697,0.0,6101.9,0.000163883,0.00493858
202,203,hypercube,1,2000.0,false,protein,1,4,12.0,1000,10,1.73697,0.0,6117.14,0.000163475,0.00491944
203,204,hypercube,1,2000.0,false,protein,1,4,12.0,1000,12,1.73697,0.0,5177.55,0.000193142,0.00494827
204,205,hypercube,1,2000.0,false,protein,1,4,12.0,1000,14,1.73697,0.0,5161.07,0.000193758,0.00494725
205,206,hypercube,1,2000.0,false,protein,1,4,12.0,1000,16,1.73697,0.0,5211.05,0.0001919,0.00489906
206,207,hypercube,1,2000.0,false,protein,1,4,12.0,1000,18,1.73697,0.0,5913.37,0.000169108,0.0050313
207,208,hypercube,1,2000.0,false,protein,1,4,12.0,10000,2,1.14841,0.0833333,553.261,0.00180747,0.00502522
208,209,hypercube,1,2000.0,false,protein,1,4,12.0,10000,4,1.14841,0.0833333,576.402,0.0017349,0.00494898
209,210,hypercube,1,2000.0,false,protein,1,4,12.0,10000,6,1.14841,0.0833333,589.021,0.00169773,0.00501636
210,211,hypercube,1,2000.0,false,protein,1,4,12.0,10000,8,1.14841,0.0833333,572.549,0.00174658,0.00503113
211,212,hypercube,1,2000.0,false,protein,1,4,12.0,10000,10,1.14841,0.0833333,563.021,0.00177613,0.00502012
212,213,hypercube,1,2000.0,false,protein,1,4,12.0,10000,12,1.14841,0.0833333,596.748,0.00167575,0.00502989
213,214,hypercube,1,2000.0,false,protein,1,4,12.0,10000,14,1.14841,0.0833333,582.411,0.001717,0.00502237
214,215,hypercube,1,2000.0,false,protein,1,4,12.0,10000,16,1.14841,0.0833333,586.86,0.00170398,0.00497567
215,216,hypercube,1,2000.0,false,protein,1,4,12.0,10000,18,1.14841,0.0833333,589.86,0.00169532,0.0049677
216,217,hypercube,1,2000.0,false,protein,1,4,15.0,10,2,2.30715,0.0,297030.0,3.36667,0.00490187
217,218,hypercube,1,2000.0,false,protein,1,4,15.0,10,4,2.30715,0.0,253165.0,3.95,0.00502783
218,219,hypercube,1,2000.0,false,protein,1,4,15.0,10,6,2.30715,0.0,241449.0,4.14167,0.0051118
219,220,hypercube,1,2000.0,false,protein,1,4,15.0,10,8,2.30715,0.0,217391.0,4.6,0.00493865
220,221,hypercube,1,2000.0,false,protein,1,4,15.0,10,10,2.30715,0.0,264901.0,3.775,0.00502686
221,222,hypercube,1,2000.0,false,protein,1,4,15.0,10,12,2.30715,0.0,263158.0,3.8,0.00495313
222,223,hypercube,1,2000.0,false,protein,1,4,15.0,10,14,2.30715,0.0,229885.0,4.35,0.00500783
223,224,hypercube,1,2000.0,false,protein,1,4,15.0,10,16,2.30715,0.0,252101.0,3.96667,0.00496612
224,225,hypercube,1,2000.0,false,protein,1,4,15.0,10,18,2.30715,0.0,223464.0,4.475,0.00500078
225,226,hypercube,1,2000.0,false,protein,1,4,15.0,100,2,2.0239,0.0,59288.5,1.68667,0.00528465
226,227,hypercube,1,2000.0,false,protein,1,4,15.0,100,4,2.0239,0.0,56127.2,1.78167,0.00498331
227,228,hypercube,1,2000.0,false,protein,1,4,15.0,100,6,2.0239,0.0,56232.4,1.77833,0.00502019
228,229,hypercube,1,2000.0,false,protein,1,4,15.0,100,8,2.0239,0.0,55401.7,1.805,0.00498155
229,230,hypercube,1,2000.0,false,protein,1,4,15.0,100,10,2.0239,0.0,55762.1,1.79333,0.00494154
